set,product_id,card,url,Ungraded,Grade 9,PSA 10
pokemon-promo,844915,Charizard #SM226,https://www.pricecharting.com/game/pokemon-promo/charizard-sm226,58.44,277.5,3403.46
pokemon-promo,845054,Lucario LV.X #DP12,https://www.pricecharting.com/game/pokemon-promo/lucario-lvx-dp12,62.86,2800.0,3360.0
pokemon-promo,844574,Jirachi #XY112,https://www.pricecharting.com/game/pokemon-promo/jirachi-xy112,47.76,193.34,3277.5
pokemon-promo,643517,Cool Porygon #15,https://www.pricecharting.com/game/pokemon-promo/cool-porygon-15,97.49,179.22,3250.0
pokemon-promo,2748082,Special Delivery Bidoof #SWSH177,https://www.pricecharting.com/game/pokemon-promo/special-delivery-bidoof-swsh177,745.0,810.0,3245.79
pokemon-promo,844980,Mewtwo #SM77,https://www.pricecharting.com/game/pokemon-promo/mewtwo-sm77,16.12,204.99,3176.12
pokemon-promo,844923,Eevee GX #SM233,https://www.pricecharting.com/game/pokemon-promo/eevee-gx-sm233,70.0,210.0,3173.16
pokemon-promo,844750,Pikachu EX #XY84,https://www.pricecharting.com/game/pokemon-promo/pikachu-ex-xy84,59.25,194.11,3091.76
pokemon-promo,845040,Groudon EX #38,https://www.pricecharting.com/game/pokemon-promo/groudon-ex-38,80.0,1046.78,3060.46
pokemon-promo,845089,Rayquaza C LV.X #DP47,https://www.pricecharting.com/game/pokemon-promo/rayquaza-c-lvx-dp47,86.73,2486.22,2983.0
pokemon-promo,1958438,Ancient Mew,https://www.pricecharting.com/game/pokemon-promo/ancient-mew,112.5,251.69,2979.0
pokemon-promo,844649,Snorlax #XY179,https://www.pricecharting.com/game/pokemon-promo/snorlax-xy179,12.51,100.95,2905.0
pokemon-promo,1656583,Gengar #SWSH052,https://www.pricecharting.com/game/pokemon-promo/gengar-swsh052,102.21,244.83,2867.66
pokemon-promo,844573,Celebi #XY111,https://www.pricecharting.com/game/pokemon-promo/celebi-xy111,35.17,150.0,2802.25
pokemon-promo,5834844,Pikachu with Grey Felt Hat #85,https://www.pricecharting.com/game/pokemon-promo/pikachu-with-grey-felt-hat-85,922.0,974.0,2800.0
pokemon-promo,844608,Magikarp #XY143,https://www.pricecharting.com/game/pokemon-promo/magikarp-xy143,76.0,265.0,2733.11
pokemon-promo,844663,Mew #XY192,https://www.pricecharting.com/game/pokemon-promo/mew-xy192,75.02,886.01,2583.58
pokemon-promo,845053,Empoleon LV.X #DP11,https://www.pricecharting.com/game/pokemon-promo/empoleon-lvx-dp11,22.66,2118.75,2543.0
pokemon-promo,844985,Shining Lugia #SM82,https://www.pricecharting.com/game/pokemon-promo/shining-lugia-sm82,95.26,308.37,2375.0
pokemon-promo,844578,Arceus #XY116,https://www.pricecharting.com/game/pokemon-promo/arceus-xy116,36.92,233.15,2236.4
pokemon-promo,1341319,Mewtwo #12,https://www.pricecharting.com/game/pokemon-promo/mewtwo-12,100.0,270.0,2169.2
pokemon-promo,1656604,Special Delivery Charizard #SWSH075,https://www.pricecharting.com/game/pokemon-promo/special-delivery-charizard-swsh075,199.99,319.31,2158.56
pokemon-promo,5830751,Snorlax [Pokemon Center] #51,https://www.pricecharting.com/game/pokemon-promo/snorlax-pokemon-center-51,287.75,284.65,2126.38
pokemon-promo,844597,Ash-Greninja EX #XY133,https://www.pricecharting.com/game/pokemon-promo/ash-greninja-ex-xy133,28.16,975.0,2123.31
pokemon-promo,844850,Pikachu #SM162,https://www.pricecharting.com/game/pokemon-promo/pikachu-sm162,135.0,262.73,2019.5
pokemon-promo,844856,Pikachu & Zekrom GX #SM168,https://www.pricecharting.com/game/pokemon-promo/pikachu-&-zekrom-gx-sm168,200.08,352.5,2010.0
pokemon-promo,844963,Charizard GX #SM60,https://www.pricecharting.com/game/pokemon-promo/charizard-gx-sm60,34.8,140.35,1976.25
pokemon-promo,1656640,Pikachu #4,https://www.pricecharting.com/game/pokemon-promo/pikachu-4,18.25,158.75,1966.76
pokemon-promo,844733,Jirachi #XY67a,https://www.pricecharting.com/game/pokemon-promo/jirachi-xy67a,221.23,698.44,1866.92
pokemon-promo,844767,Mewtwo & Mew GX #SM191,https://www.pricecharting.com/game/pokemon-promo/mewtwo-&-mew-gx-sm191,315.74,468.3,1859.91
pokemon-promo,844742,Zekrom #XY76,https://www.pricecharting.com/game/pokemon-promo/zekrom-xy76,49.59,499.56,1763.72
pokemon-promo,643523,Flying Pikachu #25,https://www.pricecharting.com/game/pokemon-promo/flying-pikachu-25,65.0,200.88,1740.3
pokemon-promo,643519,Dragonite #5,https://www.pricecharting.com/game/pokemon-promo/dragonite-5,36.75,201.0,1689.35
pokemon-promo,4246447,Charizard VStar #SWSH262,https://www.pricecharting.com/game/pokemon-promo/charizard-vstar-swsh262,80.0,137.43,1675.0
pokemon-promo,2989141,Flareon V #SWSH179,https://www.pricecharting.com/game/pokemon-promo/flareon-v-swsh179,79.21,113.47,1637.73
pokemon-promo,844643,Pikachu EX #XY174,https://www.pricecharting.com/game/pokemon-promo/pikachu-ex-xy174,13.88,136.73,1626.0
pokemon-promo,844989,Pikachu #SM86,https://www.pricecharting.com/game/pokemon-promo/pikachu-sm86,25.0,172.5,1601.85
pokemon-promo,1341801,Mewtwo #14,https://www.pricecharting.com/game/pokemon-promo/mewtwo-14,15.25,160.14,1567.98
pokemon-promo,844728,Mega Absol EX #XY63,https://www.pricecharting.com/game/pokemon-promo/mega-absol-ex-xy63,14.0,206.44,1553.63
pokemon-promo,10982980,Haunter #27,https://www.pricecharting.com/game/pokemon-promo/haunter-27,56.0,82.81,1531.38
pokemon-promo,10714957,Riolu [Pokemon Center] #10,https://www.pricecharting.com/game/pokemon-promo/riolu-pokemon-center-10,70.25,52.0,1526.0
pokemon-promo,2989144,Vaporeon V #SWSH181,https://www.pricecharting.com/game/pokemon-promo/vaporeon-v-swsh181,80.5,120.05,1525.01
pokemon-promo,2405123,Pikachu #26,https://www.pricecharting.com/game/pokemon-promo/pikachu-26,86.0,220.0,1510.44
pokemon-promo,5305606,Pikachu [Pokemon Center Stamp] #27,https://www.pricecharting.com/game/pokemon-promo/pikachu-pokemon-center-stamp-27,154.6,199.99,1480.0
pokemon-promo,9773096,Team Rocket's Wobbuffet [Pokemon Center] #203,https://www.pricecharting.com/game/pokemon-promo/team-rocket%27s-wobbuffet-pokemon-center-203,107.1,109.67,1449.62
pokemon-promo,844979,Pikachu #SM76,https://www.pricecharting.com/game/pokemon-promo/pikachu-sm76,17.08,62.68,1441.44
pokemon-promo,2989147,Jolteon V #SWSH183,https://www.pricecharting.com/game/pokemon-promo/jolteon-v-swsh183,68.31,116.75,1413.0
pokemon-promo,3363204,Birthday Pikachu [World Collection] #24,https://www.pricecharting.com/game/pokemon-promo/birthday-pikachu-world-collection-24,245.25,345.65,1323.9
pokemon-promo,844857,Eevee & Snorlax GX #SM169,https://www.pricecharting.com/game/pokemon-promo/eevee-&-snorlax-gx-sm169,145.3,252.5,1250.0
pokemon-promo,844851,Mimikyu #SM163,https://www.pricecharting.com/game/pokemon-promo/mimikyu-sm163,49.99,118.96,1219.27
pokemon-promo,2738888,Galarian Slowpoke #SWSH126,https://www.pricecharting.com/game/pokemon-promo/galarian-slowpoke-swsh126,8.0,78.0,1207.89
pokemon-promo,643522,Entei #34,https://www.pricecharting.com/game/pokemon-promo/entei-34,26.28,76.54,1206.1
pokemon-promo,2782822,Espeon #SWSH174,https://www.pricecharting.com/game/pokemon-promo/espeon-swsh174,13.87,73.52,1199.95
pokemon-promo,643534,Mewtwo #3,https://www.pricecharting.com/game/pokemon-promo/mewtwo-3,26.16,136.25,1157.41
pokemon-promo,844761,Pikachu #XY95,https://www.pricecharting.com/game/pokemon-promo/pikachu-xy95,90.83,403.74,1117.89
pokemon-promo,1341320,Pikachu #1,https://www.pricecharting.com/game/pokemon-promo/pikachu-1,20.38,140.84,1108.69
pokemon-promo,643548,Surfing Pikachu #28,https://www.pricecharting.com/game/pokemon-promo/surfing-pikachu-28,57.66,154.86,1107.5
pokemon-promo,2728517,Rayquaza V #SWSH147,https://www.pricecharting.com/game/pokemon-promo/rayquaza-v-swsh147,25.52,28.12,1095.72
pokemon-promo,844745,Latios #XY79,https://www.pricecharting.com/game/pokemon-promo/latios-xy79,60.16,696.08,991.34
pokemon-promo,844922,Pikachu GX #SM232,https://www.pricecharting.com/game/pokemon-promo/pikachu-gx-sm232,10.7,65.51,990.22
pokemon-promo,11215705,Charcadet [Pokemon Center] #22,https://www.pricecharting.com/game/pokemon-promo/charcadet-pokemon-center-22,49.5,53.62,978.0
pokemon-promo,2267255,Pikachu on the Ball #1,https://www.pricecharting.com/game/pokemon-promo/pikachu-on-the-ball-1,149.24,195.75,967.39
pokemon-promo,4766447,Detective Pikachu [Stamp] #SM190,https://www.pricecharting.com/game/pokemon-promo/detective-pikachu-stamp-sm190,27.34,74.0,947.24
pokemon-promo,844762,Umbreon #XY96,https://www.pricecharting.com/game/pokemon-promo/umbreon-xy96,70.5,551.92,934.87
pokemon-promo,643537,Pichu #35,https://www.pricecharting.com/game/pokemon-promo/pichu-35,60.0,230.6,933.12
pokemon-promo,2989148,Jolteon VMAX #SWSH184,https://www.pricecharting.com/game/pokemon-promo/jolteon-vmax-swsh184,74.89,106.26,915.0
pokemon-promo,5827108,Mew ex #53,https://www.pricecharting.com/game/pokemon-promo/mew-ex-53,81.55,119.3,903.66
pokemon-promo,2989146,Vaporeon VMAX #SWSH182,https://www.pricecharting.com/game/pokemon-promo/vaporeon-vmax-swsh182,84.99,117.95,881.82
pokemon-promo,10721114,Alakazam [Pokemon Center] #9,https://www.pricecharting.com/game/pokemon-promo/alakazam-pokemon-center-9,67.0,80.0,880.04
pokemon-promo,1098357,Pikachu #SWSH020,https://www.pricecharting.com/game/pokemon-promo/pikachu-swsh020,88.0,112.5,819.55
pokemon-promo,844776,Snorlax GX #SM05,https://www.pricecharting.com/game/pokemon-promo/snorlax-gx-sm05,9.99,58.0,816.03
pokemon-promo,845080,Giratina LV.X #DP38,https://www.pricecharting.com/game/pokemon-promo/giratina-lvx-dp38,36.61,310.8,815.48
pokemon-promo,643540,Psyduck #20,https://www.pricecharting.com/game/pokemon-promo/psyduck-20,78.92,209.16,781.34
pokemon-promo,3404922,Arceus V #SWSH204,https://www.pricecharting.com/game/pokemon-promo/arceus-v-swsh204,26.49,49.0,770.3
pokemon-promo,8330103,Eevee [Pokemon Center] #173,https://www.pricecharting.com/game/pokemon-promo/eevee-pokemon-center-173,94.99,91.37,769.97
pokemon-promo,844567,Gyarados EX #XY106,https://www.pricecharting.com/game/pokemon-promo/gyarados-ex-xy106,16.1,81.0,726.4
pokemon-promo,2581749,Umbreon #SWSH129,https://www.pricecharting.com/game/pokemon-promo/umbreon-swsh129,15.5,56.0,714.43
pokemon-promo,4252222,Gengar #SWSH241,https://www.pricecharting.com/game/pokemon-promo/gengar-swsh241,33.0,87.47,710.71
pokemon-promo,844700,Mega Metagross EX #XY35,https://www.pricecharting.com/game/pokemon-promo/mega-metagross-ex-xy35,29.09,588.99,707.0
pokemon-promo,844791,Ash's Pikachu #SM109,https://www.pricecharting.com/game/pokemon-promo/ash%27s-pikachu-sm109,74.25,173.14,700.0
