Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Flaaffy #77,$5.60,$36.80,$100.72,https://storage.googleapis.com/images.pricecharting.com/dfc8d67b9fe731786652e117b1ac1a1df2e534ec5c146d9f11065a244e72c78e/60.jpg
Mew [Reverse Holo] #19,$114.63,$475.69,"$1,072.05",https://storage.googleapis.com/images.pricecharting.com/987db80c7796b1491311df3621cb22aecfcf9e89ea449b1aca83ad20d9684a21/60.jpg
Haunter #80,$9.49,$46.00,$130.68,https://storage.googleapis.com/images.pricecharting.com/y62rfr5nujo2jjnz/60.jpg
Blastoise [Reverse Holo] #4,$106.64,$241.52,"$2,650.00",https://storage.googleapis.com/images.pricecharting.com/8a689d5ac897c865b4cd48fa0b33d3d3cb9fce23e5e9e2bb9b0c6ce8990b883b/60.jpg
Abra #93,$3.91,$22.32,$133.86,https://storage.googleapis.com/images.pricecharting.com/ce77bd6c47af01cef1cfc106331fec70291a9757814e6ecef75fcefc6e571b23/60.jpg
Squirtle #131,$33.00,$47.01,$195.01,https://storage.googleapis.com/images.pricecharting.com/1c6915b43f7c238a10c3648b18fd556917461dc89f80c21c1673471d6df5ecbc/60.jpg
Charmander #97,$9.72,$45.83,$171.02,https://storage.googleapis.com/images.pricecharting.com/26e09218513736464305f45205190170d2a5319d9f27c2a7b285c4b809a8b645/60.jpg
Raichu #61,$9.78,$36.41,$235.00,https://storage.googleapis.com/images.pricecharting.com/17b7b2293ee4cd2d524a7b1eced52196a81506b441cf1bc01049906dc7c9757a/60.jpg
Tyranitar #66,$46.94,$85.31,$407.00,https://storage.googleapis.com/images.pricecharting.com/7dade40a9c140fc27ae95ce2db3bd5293e8b24d13ad7118a672688d1428c4601/60.jpg
Machamp #16,$57.58,$252.50,"$1,975.00",https://storage.googleapis.com/images.pricecharting.com/56d578cff8ec2eb0e73f5528fa8549c070d9017b753d3d47876ebc7d3bb2d8b4/60.jpg
Ninetales #21,$63.35,$224.38,$999.99,https://storage.googleapis.com/images.pricecharting.com/30a584a822e9e30186f3275e8a712908f2b43bb00cf33214d5043243a5c28bfe/60.jpg
Gengar [Reverse Holo] #48,$168.50,$513.54,"$2,202.54",https://storage.googleapis.com/images.pricecharting.com/b83dce547db5fd278d0cec4cb0f2401d845dfe7fd05d53c0fb9dc4afc58549c7/60.jpg
Bulbasaur #95,$30.83,$63.50,$107.04,https://storage.googleapis.com/images.pricecharting.com/a65b8f8055d4897bfce7bfbf74cc66144919cfb15e2180fc4d4612c67f495117/60.jpg
Clefable #7,$97.50,$329.14,$637.90,https://storage.googleapis.com/images.pricecharting.com/rq7geyosbwgelrbg/60.jpg
Poliwrath #24,$59.41,$215.35,"$4,169.24",https://storage.googleapis.com/images.pricecharting.com/bd2bb46a53b13560fbceec5023f8fd41c2709c23701760c6990b1e90a31209b7/60.jpg
Cloyster #8,$61.62,$231.78,"$1,674.50",https://storage.googleapis.com/images.pricecharting.com/e2f17d46e50b237eb4397c19953cf8402425531075cf3c7d96af768f2ff9ba47/60.jpg
