Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Light Arcanine [1st Edition] #12,$341.50,"$1,347.15","$7,000.00",https://storage.googleapis.com/images.pricecharting.com/74ee2db61238809d92e3356e58305492a99122d409862a7da33a32cea9b2672d/60.jpg
Shining Celebi [1st Edition] #106,$440.00,"$1,685.60","$6,000.00",https://storage.googleapis.com/images.pricecharting.com/f70ff68dc6b9f9a7cef7dd1677bc61455eada31c6c46e94708a3c862b7ef7ba3/60.jpg
Psyduck #79,$10.76,$38.00,$66.67,https://storage.googleapis.com/images.pricecharting.com/6231e76fd3de36542d843d76272f957ef38598c5870a7cf6defaea45a2aed6e6/60.jpg
Dark Haunter #36,$6.95,$65.30,$282.76,https://storage.googleapis.com/images.pricecharting.com/40f7fe21d78b2d54e65fd773624e35fe164c39b0bc7e8fbe6d8ecc7b4e377e94/60.jpg
Light Slowbro #51,$19.54,$58.71,$339.98,https://storage.googleapis.com/images.pricecharting.com/553f05fe8146bf5d88fa78f381555ebe53d3c4d01f74a4e3d0b5e152acfd1c99/60.jpg
Dark Quilava #39,$3.11,$29.26,$72.29,https://storage.googleapis.com/images.pricecharting.com/732870ea4c9dc1693f102aeacbbdc6a1abf90b75a492f2d76e1d89f949dd0cd5/60.jpg
Shining Kabutops [1st Edition] #108,$400.00,"$1,324.83","$4,048.82",https://storage.googleapis.com/images.pricecharting.com/128ead01a00475e94baed7793a712891c0a63957387ddbe7b854e48ca8328903/60.jpg
Dark Porygon2 #8,$38.35,$92.00,$315.31,https://storage.googleapis.com/images.pricecharting.com/3e165324c4093c68a7455b6a7251633a98406006ae062217ff18ba192922b8a2/60.jpg
Shining Steelix [1st Edition] #112,$350.00,"$1,195.62","$4,258.00",https://storage.googleapis.com/images.pricecharting.com/69f031af89d506c7ca6f353710ed9137fbfc2e81bc011f143d4cbbbb9d005e8d/60.jpg
Light Ninetales #50,$14.99,$45.00,$175.52,https://storage.googleapis.com/images.pricecharting.com/3d535291155750beff6244d96f551ccb3e851c28490ae2ca3b3cecbf1ed1c7cc/60.jpg
Booster Pack,$804.99,,"$1,481.36",https://storage.googleapis.com/images.pricecharting.com/03bfa48e870bbb2878ef10f486ef9ffbcba8dbaff39d941a2a5c3eb9816df1e8/60.jpg
Light Dragonair #22,$29.99,$74.00,$322.25,https://storage.googleapis.com/images.pricecharting.com/e9802bee4032c55d7d5702b8016ce988a2de4fcc797d5c816d38aac49ba781d6/60.jpg
Dark Tyranitar [1st Edition] #11,$475.26,"$1,069.07","$3,546.30",https://storage.googleapis.com/images.pricecharting.com/80d2707b342136090820693ec8c63fdc9578b06367e069e68727d0f82d38aabd/60.jpg
