Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Clefairy #5,$15.00,$103.92,"$4,099.99",https://storage.googleapis.com/images.pricecharting.com/47d59467ece3bf922c56e3d649493160dd86c45252e7895a78693de79d34b72d/60.jpg
Zapdos [1st Edition] #16,$238.76,"$2,125.00","$8,937.01",https://storage.googleapis.com/images.pricecharting.com/feb46c3da5c5ef2f05514e85060bf7865f4d288f0b5b90a443282dc71ddc0363/60.jpg
Blastoise [Shadowless] #2,$253.08,"$2,646.62","$20,250.00",https://storage.googleapis.com/images.pricecharting.com/0f6ceabe0130339374548abe87c18eb15bdb5b5b4dd3fb3fce8f3b72798ea32a/60.jpg
Charizard [1999-2000] #4,$294.03,"$5,433.69","$13,856.31",https://storage.googleapis.com/images.pricecharting.com/hehi275inmsjbx34/60.jpg
Gyarados [1st Edition] #6,$551.51,"$3,934.53","$11,630.09",https://storage.googleapis.com/images.pricecharting.com/3cdea58f46b3cb01300307b708c1028673aba685dee3baa36dab1a1aea81561a/60.jpg
Pikachu [E3 Red Cheeks] #58,$678.97,"$1,320.00","$6,688.50",https://storage.googleapis.com/images.pricecharting.com/5122b59bf6461d7a34fce34aa6476e8b349a742c17efdfb002a72293362322e9/60.jpg
Magneton #9,$11.83,$120.96,$866.38,https://storage.googleapis.com/images.pricecharting.com/90a71879c545bc03fb68e55744b2fb845ef4af2c25360b72410d7f8a6f9c3267/60.jpg
Raichu [1st Edition] #14,$325.07,"$2,942.05","$8,935.38",https://storage.googleapis.com/images.pricecharting.com/b0e07eb343b230084d6af842739bfcb05de842f771722e5a9442c559f69f0ef6/60.jpg
Mewtwo [Shadowless] #10,$60.25,"$1,100.00","$3,678.75",https://storage.googleapis.com/images.pricecharting.com/d46e3999b54fb769440842a1c6340cd86e599aa0d1ca8813431dff68777a08bb/60.jpg
Squirtle [1st Edition] #63,$83.45,$517.50,"$3,297.95",https://storage.googleapis.com/images.pricecharting.com/7400c2d216899e68f1511713225aa705f3c396576245b6cca2eafb7f1839f1ba/60.jpg
Bulbasaur [1st Edition] #44,$161.02,$796.70,"$3,560.33",https://storage.googleapis.com/images.pricecharting.com/f74334699e7e0fabd313e0c5c5df3c4ad1decf214bc53e02628fa8334a540c2d/60.jpg
Ninetales [1st Edition] #12,$392.29,"$2,527.29","$7,999.99",https://storage.googleapis.com/images.pricecharting.com/10891af5278dd550f77ee86ecd8cc6310a031ed460d7272147599ad88bf0c8af/60.jpg
Alakazam [1st Edition] #1,$533.48,"$4,270.95","$10,442.53",https://storage.googleapis.com/images.pricecharting.com/372abf8075b7335c12bb7f2fed59cd6c77e298220738df781075d8141c2ea67b/60.jpg
Venusaur [Shadowless] #15,$168.78,"$1,773.31","$2,573.00",https://storage.googleapis.com/images.pricecharting.com/cc4ffb5a1f03ab3a03dd35fdec253f25f6b1a971e71b3fe369e00cfe6d4b4b03/60.jpg
Machamp [Trainer Deck A] #8,"$1,077.63",,,https://storage.googleapis.com/images.pricecharting.com/1d4f3a5cac0b3f64dd9d9c5e1de34aab419f61294ca422d14243a612831b64bf/60.jpg
Pikachu [Shadowless] #58,$14.49,$99.16,$566.48,https://storage.googleapis.com/images.pricecharting.com/0274c505e8000ad3f92669113e24b292166030512a6913df1c8a86ef3f0b7446/60.jpg
Charmander [Shadowless] #46,$5.44,$65.00,$460.72,https://storage.googleapis.com/images.pricecharting.com/71f26d707ec59e3bbf1851d5184fe5240ebfbf9284b1712e991b33ea2cf92f7a/60.jpg
Gyarados [Shadowless] #6,$64.50,$451.28,"$2,300.00",https://storage.googleapis.com/images.pricecharting.com/1098e89e3e172f6782b1763555e2605e57ea09b788c90a9cd537a997534d0fd4/60.jpg
Wartortle #42,$2.41,$50.00,$232.76,https://storage.googleapis.com/images.pricecharting.com/ba6efbd46ea6f11209f63dccb295473134bcb611b14c2a929aae89d9e1b8b472/60.jpg
Ninetales [Shadowless] #12,$32.42,$335.86,"$2,041.92",https://storage.googleapis.com/images.pricecharting.com/a36nolbzuqvqq5pu/60.jpg
Charmeleon [1st Edition] #24,$91.00,$401.61,"$2,670.00",https://storage.googleapis.com/images.pricecharting.com/c34063452fea17094120390c7331c2045c5c7f5b74a45f41e82c0f3ae37c5f7c/60.jpg
Blastoise [Trainer Deck B] #2,"$1,612.50","$6,249.99","$7,500.00",https://storage.googleapis.com/images.pricecharting.com/bfea21d092ce8520eea3a6ac5242cbc3559d4fa8aae78deca5798ce332e5647f/60.jpg
Ivysaur #30,$3.20,$50.80,$180.00,https://storage.googleapis.com/images.pricecharting.com/4bf30ffa99294f7d70091f1ac159581549833aa6ce52a5d2d67a083d9ee550cd/60.jpg
Charizard [Black Dot Error] #4,$433.65,"$1,555.91",,https://storage.googleapis.com/images.pricecharting.com/ihayrs4ge4gds5x4/60.jpg
Kadabra #32,$1.99,$37.00,$210.00,https://storage.googleapis.com/images.pricecharting.com/36a89c026ec6169be4f9b01f5cea5dda14282fd0d218c0b471c09f6fc8e37e76/60.jpg
Arcanine #23,$2.39,$52.44,$291.04,https://storage.googleapis.com/images.pricecharting.com/f963f4e69bccfaa04e596f73464881c51bbd6a485fe56357be45a0a09a8da901/60.jpg
Dragonair #18,$7.38,$42.08,$278.62,https://storage.googleapis.com/images.pricecharting.com/e805ef557d66e90720de87fc4d63ccf50f9f297782beea8c34528749a25ad8e3/60.jpg
Machamp [1999-2000] #8,$47.02,$302.41,"$2,400.00",https://storage.googleapis.com/images.pricecharting.com/3hrj7zhw2fc426lc/60.jpg
Magikarp [1st Edition] #35,$154.28,$379.61,"$2,364.40",https://storage.googleapis.com/images.pricecharting.com/f183d42fb6c689181bd4d3eeb49be9e510569ec0091203b1f5e8df48f312728d/60.jpg
Machop #52,$1.44,$27.52,$99.57,https://storage.googleapis.com/images.pricecharting.com/9835762b8aab361273c97475e2af9b80387a63b7d80b7654f2cfc39f887ce392/60.jpg
Vulpix #68,$1.52,$29.30,$121.99,https://storage.googleapis.com/images.pricecharting.com/d00762f31e2a45af9d6dd765db680283d355e136409077e1fe579583fd48a783/60.jpg
Pikachu [E3] #58,$25.51,$158.56,$615.67,https://storage.googleapis.com/images.pricecharting.com/21a7c9efe8d0feb97e45c45dd208ddc6d043c81d7aa0a8e39fb9dadd26a1d721/60.jpg
Hitmonchan [1st Edition] #7,$347.00,"$2,330.75","$15,249.50",https://storage.googleapis.com/images.pricecharting.com/79440b678687a2f1c50360ededa191b9c2d394e24d409ba63b0455defb851cce/60.jpg
Abra #43,$1.78,$29.20,$129.74,https://storage.googleapis.com/images.pricecharting.com/d70ae614ea0bce111bdd0480fbb2350439029d85041bccaf90e343a7d1fcf887/60.jpg
Poliwrath [1st Edition] #13,$279.53,"$1,923.34","$12,200.00",https://storage.googleapis.com/images.pricecharting.com/53ec02019771b71a598c2a35ae0cf7ecc6a63e28efdcb206f054a183f2d73a5a/60.jpg
Squirtle [Shadowless] #63,$10.86,$148.74,$895.82,https://storage.googleapis.com/images.pricecharting.com/c8d7d5f7ea494ef44e4bcd69d2d443a9091375d318c05c37c68bbb0c9146e85d/60.jpg
Machoke #34,$1.96,$32.27,$105.00,https://storage.googleapis.com/images.pricecharting.com/0508f5a0b61cbb1a27425652a0257fc9787833cee8f9b184db455cafefc15cb0/60.jpg
Magikarp #35,$3.00,$59.99,$296.94,https://storage.googleapis.com/images.pricecharting.com/bcf776c40df23ec62cf25689515887b7c09f4f0b4db290560d053a75bcb9a399/60.jpg
Nidoking [1st Edition] #11,$302.17,"$1,467.59","$9,337.58",https://storage.googleapis.com/images.pricecharting.com/48f97527ae032172820c9aa9e6c856abf0e562118c0b3de0555b1a93b37352f9/60.jpg
Alakazam [Shadowless] #1,$92.87,$986.92,"$5,050.00",https://storage.googleapis.com/images.pricecharting.com/4a4dd909296ebe526062a59ead421dde7db916f8f333d89e5798e20bff365b57/60.jpg
Pikachu [PokeTour 1999] #58,$173.12,$350.00,"$3,537.50",https://storage.googleapis.com/images.pricecharting.com/870a2da4a4faa706fc8266c92dae55b1518b4975c006499ffaccabec9437d055/60.jpg
Haunter #29,$2.15,$38.00,$181.97,https://storage.googleapis.com/images.pricecharting.com/719d0696970af59e4d46a3e6a93b3123524642983f8911153ba6d85e4e8ff057/60.jpg
Pikachu [1st Edition Ghost Stamp] #58,$250.00,$775.28,,https://storage.googleapis.com/images.pricecharting.com/cbbdc6514d5dc40e113d7ac2585a40c4a1bcf530a96defd89f9e3030b6d161d6/60.jpg
