Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Eevee,Eevee #74,$5.80,$26.92,$74.99,https://storage.googleapis.com/images.pricecharting.com/222595112bf09b69c9abc9b2be6127e6aad0f00655f40c46c00533f3406a6a3a/60.jpg
Squirtle,Squirtle [Reverse Holo] #95,$256.05,$844.64,"$4,691.45",https://storage.googleapis.com/images.pricecharting.com/069bd794c6d64da18e3399b57f43e1a2ccc5004f811748c45c69063f6a038352/60.jpg
Squirtle,Squirtle #95,$2.91,$33.94,$169.99,https://storage.googleapis.com/images.pricecharting.com/f66bcdffeae86398edd88b7ecc1d3df5bc1f01760cc2cdaac5222c082a2766aa/60.jpg
Bulbasaur,Bulbasaur [Reverse Holo] #68,$208.50,$650.00,"$3,727.43",https://storage.googleapis.com/images.pricecharting.com/56e29651618a84d930dbc7b239f17ef0ad2f4e691123da20b3a389e3bee45235/60.jpg
Bulbasaur,Bulbasaur #68,$3.73,$24.98,$115.12,https://storage.googleapis.com/images.pricecharting.com/39af1d69d3dd24a9b2d804b2f7bc3dbd29a2e6b8dde4ad34e79fa4cb5bf5d5bb/60.jpg
Magikarp,Magikarp [Reverse Holo] #52,$208.27,$579.57,"$1,660.00",https://storage.googleapis.com/images.pricecharting.com/5f796aeb4e02582bad45fc20d0f84e740831c6e7e996e844bf31026b1d8be3b7/60.jpg
Magikarp,Magikarp #52,$6.18,$39.69,$150.00,https://storage.googleapis.com/images.pricecharting.com/b9fb0d41e25601d3ba2cb44442a4a44c951b3a64112bd9d1ece983a4fba4f647/60.jpg
Dark Vaporeon,Dark Vaporeon [Reverse Holo] #9,$207.50,$676.41,"$3,267.42",https://storage.googleapis.com/images.pricecharting.com/4eaa4f962ff85633ec77bd0568af31ff1271b694db37bb5c64d4d35acdaf54cd/60.jpg
Dark Vaporeon,Dark Vaporeon #9,$66.00,$269.97,"$3,710.11",https://storage.googleapis.com/images.pricecharting.com/ea9ca136d7dcb2c92a6a48b5f2abc8c14e8286764e1dfc5435e3e4350b86bc4a/60.jpg
Dark Raichu,Dark Raichu [Reverse Holo] #7,$200.62,"$1,048.36","$8,856.70",https://storage.googleapis.com/images.pricecharting.com/10ef4659abcbf3c8352af15775d0eda8c5633928b962b38f980f829680e2a425/60.jpg
