Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Tropical Tidal Wave,Tropical Tidal Wave #HGSS18,$727.50 ,$672.00 ,"$1,662.50 ",https://storage.googleapis.com/images.pricecharting.com/ef9ad604d77a3e8acc47079473a5303e0d068dfa089afab9ed49eb1a67c2636c/60.jpg
Tropical Tidal Wave,Tropical Tidal Wave [Staff] #HGSS18,$578.37 ,"$1,153.80 ","$1,399.99 ",https://storage.googleapis.com/images.pricecharting.com/701d87a79d113333822b5ff6f039d9f7f0aaa2f917e7325bcd59f10ec93809d7/60.jpg
Tropical Tidal Wave,Tropical Tidal Wave #036,$399.99 ,"$1,032.03 ","$2,075.00 ",https://storage.googleapis.com/images.pricecharting.com/e1b6c3f42a818a6781b1961dd0139ca6772b451dfa1b3df6c4f24d1a59c0de30/60.jpg
_____'s Mew,_____'s Mew [Play] #13,$850.00 ,"$1,550.00 ","$2,000.00 ",https://storage.googleapis.com/images.pricecharting.com/bb188058bc37aca8718dd009e17804ff0285a396e7eb70b889e22ee3051d0d5d/60.jpg
Pikachu with Grey Felt Hat,Pikachu with Grey Felt Hat #85,$846.46 ,$865.66 ,"$2,543.59 ",https://storage.googleapis.com/images.pricecharting.com/5e96704258cea7c698de7602006f71dfe88d868c0c9585a1e11055de7d488007/60.jpg
Tin: Pikachu & Zekrom,Tag Team Tin: Pikachu & Zekrom GX,$793.67 ,,,https://storage.googleapis.com/images.pricecharting.com/yaerbhabnmhabtkk/60.jpg
Special Delivery Bidoof,Special Delivery Bidoof #SWSH177,$581.43 ,$480.00 ,"$2,500.00 ",https://storage.googleapis.com/images.pricecharting.com/6dewpptic5b5hgac/60.jpg
Pikachu,Pikachu [1st Edition Error] #1,$545.00 ,"$1,544.00 ",,https://storage.googleapis.com/images.pricecharting.com/234bcf7ab28336c3bc2b08a4293d181b98eb31cd1047c9d59466bc6f7d21d5c8/60.jpg
Pikachu,Pikachu [Asia Championship] #101,$317.54 ,$455.99 ,$775.00 ,https://storage.googleapis.com/images.pricecharting.com/cctzg5brm36q4pal/60.jpg
Pikachu,Pikachu EX #XY124,$237.10 ,"$1,551.90 ","$7,946.07 ",https://storage.googleapis.com/images.pricecharting.com/534577ad65db5dc9048d401134c53a2594d795a1bd2d667fc83785824120f636/60.jpg
Pikachu,Pikachu [Snowflake Stamp] #DP16,$158.63 ,,,https://storage.googleapis.com/images.pricecharting.com/tmbsc6t26a4j57o5/60.jpg
Pikachu,Pikachu [Pokemon Center Stamp] #27,$137.48 ,$115.00 ,"$1,480.00 ",https://storage.googleapis.com/images.pricecharting.com/l5wcclv5wci4fd4w/60.jpg
Pikachu,Pikachu [Holo] #35,$134.39 ,$900.00 ,"$1,900.00 ",https://storage.googleapis.com/images.pricecharting.com/c775849535bbf5099d42a6044bc0cba2f8044144b0ffb2d2cbf3dd7f7919b116/60.jpg
Pikachu,Pikachu #DP16,$130.70 ,$953.54 ,"$2,691.40 ",https://storage.googleapis.com/images.pricecharting.com/f72a756ad62c84d357779f452ea1a12ed89bc8aaf9f438ebe5ea833afdf6f4b4/60.jpg
Pikachu,Pikachu [Journey Across America] #12,$119.00 ,$142.26 ,"$1,171.11 ",https://storage.googleapis.com/images.pricecharting.com/r34bzirdtxgu4jwq/60.jpg
Pikachu,Pikachu [World Championships Winner] #225,$95.05 ,$233.76 ,,https://storage.googleapis.com/images.pricecharting.com/bcn4jacppvoappfi/60.jpg
Pikachu,Pikachu [No Stamp] #190,$92.56 ,,,https://storage.googleapis.com/images.pricecharting.com/pbh6houkr4rbpja3/60.jpg
Pikachu,Pikachu [Build-A-Bear] #SM86,$88.37 ,$41.00 ,$140.96 ,https://storage.googleapis.com/images.pricecharting.com/hgjrewmbav3ekdnv/60.jpg
Pikachu,Pikachu #SM162,$86.00 ,$221.12 ,"$1,200.00 ",https://storage.googleapis.com/images.pricecharting.com/6c95b4b314fbea46536926da02fe303d97368294ba654c47072a4f8a2dc816e9/60.jpg
