Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Bulbasaur #1,$2.90,$14.23,$42.70,https://storage.googleapis.com/images.pricecharting.com/uqc2e7yuykrb3ini/60.jpg
Alakazam EX #65,$1.63,$12.14,$36.44,https://storage.googleapis.com/images.pricecharting.com/eza3zgpzi3menfim/60.jpg
Pikachu [Master Ball] #25,,,,https://storage.googleapis.com/images.pricecharting.com/al7mybf6afln7rkx/60.jpg
Chansey #113,$2.25,$13.27,$39.82,https://storage.googleapis.com/images.pricecharting.com/3yh57ciy2qfpygai/60.jpg
Aerodactyl #142,$5.61,$3.25,$54.86,https://storage.googleapis.com/images.pricecharting.com/mpwyjhxuvnqmliye/60.jpg
Wigglytuff EX #186,$2.00,,,https://storage.googleapis.com/images.pricecharting.com/q7hokq4ixv7bxx3z/60.jpg
Drowzee #96,$6.51,$19.50,$58.51,https://storage.googleapis.com/images.pricecharting.com/aom43adykquv7lqx/60.jpg
Pidgey #153,$3.53,$18.30,$54.92,https://storage.googleapis.com/images.pricecharting.com/4xn3qhuewmejo4l2/60.jpg
Vaporeon #134,$2.70,$13.94,$41.81,https://storage.googleapis.com/images.pricecharting.com/d5lppakd6asapjq3/60.jpg
Arbok EX #177,$1.76,$12.77,$38.32,https://storage.googleapis.com/images.pricecharting.com/4zjha6tm6hlssu4t/60.jpg
Persian #53,$1.25,,,https://storage.googleapis.com/images.pricecharting.com/dcpvxpgzy5zzjk7p/60.jpg
Ditto #132,$2.00,$12.92,$38.76,https://storage.googleapis.com/images.pricecharting.com/tn5eythgcnrzrqog/60.jpg
Kangaskhan EX #182,$3.95,$8.76,$47.29,https://storage.googleapis.com/images.pricecharting.com/76ibjyfqeos373x5/60.jpg
Ivysaur [Master Ball] #2,$18.99,,,https://storage.googleapis.com/images.pricecharting.com/wpkapsavsoqtijv4/60.jpg
Hitmonchan #107,$3.84,,,https://storage.googleapis.com/images.pricecharting.com/p3gbt4iwofw56zkr/60.jpg
Gyarados #130,$2.00,$12.92,$38.76,https://storage.googleapis.com/images.pricecharting.com/p7ell2d4zdhjft4g/60.jpg
Jolteon #135,$3.49,$14.98,$20.99,https://storage.googleapis.com/images.pricecharting.com/7he6citguf65kdg5/60.jpg
Flareon #136,$1.79,,$23.24,https://storage.googleapis.com/images.pricecharting.com/i5heambpb3oq6k3c/60.jpg
Ponyta [Reverse] #77,$1.60,,,https://storage.googleapis.com/images.pricecharting.com/tlk5ehq3i3ad4vca/60.jpg
Mewtwo [Reverse] #150,$3.50,$15.11,$45.33,https://storage.googleapis.com/images.pricecharting.com/aqpwhcbugsjtxbf2/60.jpg
Golem EX #181,$3.25,$13.21,$39.63,https://storage.googleapis.com/images.pricecharting.com/rpfgth67wrwzwl5h/60.jpg
Pinsir #127,$3.34,,,https://storage.googleapis.com/images.pricecharting.com/pgyxsums6khnvigr/60.jpg
Staryu #166,$5.98,$9.99,$56.20,https://storage.googleapis.com/images.pricecharting.com/xjdfecwxet2bwrej/60.jpg
Jigglypuff #156,$3.81,$15.81,$47.42,https://storage.googleapis.com/images.pricecharting.com/hujixbseyl5u5kjg/60.jpg
Pidgeotto #154,$3.13,$3.25,$79.99,https://storage.googleapis.com/images.pricecharting.com/cjhvt7gwuap7jiu6/60.jpg
Raichu #26,$3.00,$0.99,$38.75,https://storage.googleapis.com/images.pricecharting.com/d66haj5jhx5epqsc/60.jpg
Kangaskhan EX #115,$5.46,$17.97,$53.91,https://storage.googleapis.com/images.pricecharting.com/me27l6g2qa5bokmd/60.jpg
Cubone [Master Ball] #104,,,,https://storage.googleapis.com/images.pricecharting.com/q35p22jdwegj3wcs/60.jpg
