Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Zapdos #44,$28.00,$61.42,$197.50,https://storage.googleapis.com/images.pricecharting.com/732fac80a5bff8df1500bce33baa1dc8484804b4fe225c0a00363b3f1d4ade99/60.jpg
Cubone #72,$13.61,$55.00,$150.00,https://storage.googleapis.com/images.pricecharting.com/7122c2502945c089ae48f984735693ddc746bb144e8ffe900ead4d4a3b7e2810/60.jpg
Blissey #H6,$89.50,$285.41,"$1,696.71",https://storage.googleapis.com/images.pricecharting.com/6065456d849f207f8d78d6c58589f766e0510266a31d45f14963e169d63a5d15/60.jpg
Eevee #75,$22.32,$24.99,$180.00,https://storage.googleapis.com/images.pricecharting.com/52e91d0d78b8702373f5563b06f46e7d79643c329268e75e9e2779c333956845/60.jpg
Slowpoke #108,$16.89,$35.00,$160.00,https://storage.googleapis.com/images.pricecharting.com/57007878f3d54531550522f517403db4f1c84aa1a683500871d0050221486dfd/60.jpg
Espeon [Reverse Holo] #11,$134.30,$225.00,"$3,600.00",https://storage.googleapis.com/images.pricecharting.com/h7y2dx5dveizmhz3/60.jpg
Ninetales #25,$20.00,$41.54,$114.13,https://storage.googleapis.com/images.pricecharting.com/e6d8410524c413ba5955541e5b3f0581bac627c447520e04f6de2a2daee0d097/60.jpg
Booster Box,"$13,766.70",,,https://storage.googleapis.com/images.pricecharting.com/005a4e16932ccf17a3538793a6ffb5e082bdbe3a7fa7c5ca6fc12ca4a21884fa/60.jpg
Sudowoodo #H24,$160.54,$295.50,"$1,760.00",https://storage.googleapis.com/images.pricecharting.com/47b4921ae1243beec6840ee76416daa7121b6f6503c8c0676808ae144b59384c/60.jpg
Tyranitar [Reverse Holo] #40,$102.50,$231.97,"$1,515.00",https://storage.googleapis.com/images.pricecharting.com/725d4461fb946508639327f200bd95d5682baf1cd3a4d8f14cd6a5d0c20721d5/60.jpg
Exeggutor #H10,$100.44,$315.51,"$1,199.99",https://storage.googleapis.com/images.pricecharting.com/f0e5e9c943d6f91c550f90b2183442056e86a12112be3e497808193f7afbcab1/60.jpg
Vulpix #116,$7.68,$27.95,$78.00,https://storage.googleapis.com/images.pricecharting.com/c838a0497fc90bb48c9f875ba710fb5411a7118d4b4802cb4cf9b00625736374/60.jpg
Wooper #66,$69.99,$53.00,$99.99,https://storage.googleapis.com/images.pricecharting.com/2f2948586e3b683d0c7ae13c8425a8e530bd21c4d907df013552d5de87a57ef5/60.jpg
Victreebel #H30,$64.13,$159.96,$900.00,https://storage.googleapis.com/images.pricecharting.com/17a930319051d6841ca7a9d85dea982f78766fa05e0adbd6988c1fc31da80c4d/60.jpg
Lanturn #H15,$57.91,$199.93,$722.93,https://storage.googleapis.com/images.pricecharting.com/3469b97f8e544e28bcf1b9feca982f718cffe5b2dfa15b1ab429c23317c01e77/60.jpg
Chansey #69,$3.72,$24.13,$66.67,https://storage.googleapis.com/images.pricecharting.com/ab7ea337c2d945dd6af4cc8cdcfa70faeffaa46ea6c761a35aa5e63f1a31861e/60.jpg
Electrode #H7,$60.84,$164.00,"$1,660.64",https://storage.googleapis.com/images.pricecharting.com/748976376ad55b912bd920ad7fc190cd146e1d643b10e4330b38c53f3e161981/60.jpg
Houndoom [Reverse Holo] #15,$131.27,$135.00,$364.21,https://storage.googleapis.com/images.pricecharting.com/45c42fb6955e818e8b5b7cdbfb1395f9444784d1cb6951a4afeb89a6df635833/60.jpg
Grimer #79,$15.34,$26.34,$66.33,https://storage.googleapis.com/images.pricecharting.com/7ef13c7b0973df3121c49e1008843cd2c3b3596fcee0f43b790243d12f97c5b8/60.jpg
Vileplume #H31,$65.51,$239.43,$972.81,https://storage.googleapis.com/images.pricecharting.com/984217cc24c96dfaa9986ae005acb7e81fcece1a7b9be0cc88dad603785e1893/60.jpg
