Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Clefable,Clefable [Reverse] #36,$3.00,,,https://storage.googleapis.com/images.pricecharting.com/xuch4biirxgaawxw/60.jpg
Clefable,Clefable #36,$1.25,,,https://storage.googleapis.com/images.pricecharting.com/lglsfebhayfxl44r/60.jpg
Charizard,Charizard ex #175,$10.71,$17.50,$66.88,https://storage.googleapis.com/images.pricecharting.com/niv26ld2y7jyngx6/60.jpg
Charizard,Charizard EX #6,$3.05,$15.20,$45.58,https://storage.googleapis.com/images.pricecharting.com/gjun72ktzna25sya/60.jpg
Pidgeotto,Pidgeotto #17,$10.00,,,https://storage.googleapis.com/images.pricecharting.com/chxxwonmlb76uf3c/60.jpg
Pidgeotto,Pidgeotto #154,$3.13,$3.25,$79.99,https://storage.googleapis.com/images.pricecharting.com/cjhvt7gwuap7jiu6/60.jpg
Pidgeotto,Pidgeotto [Reverse] #17,$1.69,,,https://storage.googleapis.com/images.pricecharting.com/5ehszmow63zgfa6b/60.jpg
Pidgeotto,Pidgeotto [Master Ball] #17,,,,https://storage.googleapis.com/images.pricecharting.com/7h6q2qowyuqzmsbe/60.jpg
Victreebel,Victreebel #71,$7.99,,,https://storage.googleapis.com/images.pricecharting.com/tc7tnkgyzcxjmhvs/60.jpg
Victreebel,Victreebel [Reverse] #71,$1.79,,,https://storage.googleapis.com/images.pricecharting.com/wxmk3xrsvng3d3rd/60.jpg
Victreebel,Victreebel [Master Ball] #71,,,,https://storage.googleapis.com/images.pricecharting.com/brjtbtchpg545vn3/60.jpg
Poliwhirl,Poliwhirl #61,$7.50,,,https://storage.googleapis.com/images.pricecharting.com/v2kuf2tz7gcjwgo2/60.jpg
Poliwhirl,Poliwhirl [Reverse] #61,$2.00,,,https://storage.googleapis.com/images.pricecharting.com/ul6qabpyaaykstyj/60.jpg
Poliwhirl,Poliwhirl [Master Ball] #61,,,,https://storage.googleapis.com/images.pricecharting.com/gpyzjdd2lkrqsued/60.jpg
Snorlax,Snorlax [Reverse] #143,$7.33,,,https://storage.googleapis.com/images.pricecharting.com/gwcpal6374etztd2/60.jpg
Snorlax,Snorlax #169,$7.22,$10.99,$57.94,https://storage.googleapis.com/images.pricecharting.com/ozshhuio2htbrl2y/60.jpg
Snorlax,Snorlax #143,$3.88,$22.00,$32.00,https://storage.googleapis.com/images.pricecharting.com/3ld43enctm37tvuw/60.jpg
Snorlax,Snorlax [Master Ball] #143,,,,https://storage.googleapis.com/images.pricecharting.com/xm2erqkbrhxnob7r/60.jpg
Ponyta,Ponyta #77,$7.09,,,https://storage.googleapis.com/images.pricecharting.com/vz5yhb2i3qwqotgz/60.jpg
Ponyta,Ponyta [Reverse] #77,$1.60,,,https://storage.googleapis.com/images.pricecharting.com/tlk5ehq3i3ad4vca/60.jpg
Ponyta,Ponyta [Master Ball] #77,,,,https://storage.googleapis.com/images.pricecharting.com/eifmv66yeobg4o7v/60.jpg
Slowpoke,Slowpoke #79,$7.05,$15.00,$60.92,https://storage.googleapis.com/images.pricecharting.com/at4y2lztwhlatfsp/60.jpg
Slowpoke,Slowpoke [Reverse] #79,$3.77,,,https://storage.googleapis.com/images.pricecharting.com/xdc5lcuu2e44nuro/60.jpg
Slowpoke,Slowpoke [Master Ball] #79,,,,https://storage.googleapis.com/images.pricecharting.com/oboynszam2a2dpi3/60.jpg
Goldeen,Goldeen [Master Ball] #118,$7.00,,,https://storage.googleapis.com/images.pricecharting.com/7sxvrb2wus64tb64/60.jpg
Goldeen,Goldeen [Reverse] #118,$0.50,,,https://storage.googleapis.com/images.pricecharting.com/xpb2in7u23md7yrr/60.jpg
Goldeen,Goldeen #118,,,,https://storage.googleapis.com/images.pricecharting.com/lbczfrzccyblaufj/60.jpg
Dodrio,Dodrio #163,$6.70,$15.84,$47.51,https://storage.googleapis.com/images.pricecharting.com/6fy5cbnazkb7rqzj/60.jpg
Dodrio,Dodrio #85,$2.25,,,https://storage.googleapis.com/images.pricecharting.com/dsfvnxxc3mr623yh/60.jpg
Dodrio,Dodrio [Reverse] #85,$1.88,,,https://storage.googleapis.com/images.pricecharting.com/cgmpwdmxqysktkeo/60.jpg
Dodrio,Dodrio [Master Ball] #85,,,,https://storage.googleapis.com/images.pricecharting.com/qwfonq6dopohborq/60.jpg
Magnemite,Magnemite #81,$6.60,,,https://storage.googleapis.com/images.pricecharting.com/er2ac64ji3w2yi4g/60.jpg
Magnemite,Magnemite [Reverse] #81,$1.99,,,https://storage.googleapis.com/images.pricecharting.com/ls224lii6posd52g/60.jpg
Magnemite,Magnemite [Master Ball] #81,,,,https://storage.googleapis.com/images.pricecharting.com/5azx72h5qs7truo2/60.jpg
Drowzee,Drowzee #96,$6.51,$19.50,$58.51,https://storage.googleapis.com/images.pricecharting.com/aom43adykquv7lqx/60.jpg
Drowzee,Drowzee [Reverse] #96,$1.39,,,https://storage.googleapis.com/images.pricecharting.com/6iucunevfipmquts/60.jpg
Drowzee,Drowzee [Master Ball] #96,,,,https://storage.googleapis.com/images.pricecharting.com/jrmvq52oofsczybp/60.jpg
Dugtrio,Dugtrio #51,$6.40,$19.34,$58.04,https://storage.googleapis.com/images.pricecharting.com/4sr4nubhdfjhbozt/60.jpg
Dugtrio,Dugtrio [Reverse] #51,$0.50,,,https://storage.googleapis.com/images.pricecharting.com/anmyu5niphwj675k/60.jpg
Dugtrio,Dugtrio [Master Ball] #51,,,,https://storage.googleapis.com/images.pricecharting.com/rpkfvnuzmplrvpoa/60.jpg
Vileplume,Vileplume #159,$6.35,$15.39,$46.15,https://storage.googleapis.com/images.pricecharting.com/cfcjftstz2hr7qnm/60.jpg
Vileplume,Vileplume #45,$3.69,,,https://storage.googleapis.com/images.pricecharting.com/thfedj2lij45kfot/60.jpg
Vileplume,Vileplume [Reverse] #45,$1.77,,,https://storage.googleapis.com/images.pricecharting.com/alpnxudujvsn3e4a/60.jpg
Vileplume,Vileplume [Master Ball] #45,,,,https://storage.googleapis.com/images.pricecharting.com/57ddnku75jepidhq/60.jpg
Ditto,Ditto #168,$6.29,$19.15,$21.25,https://storage.googleapis.com/images.pricecharting.com/6ze3gewrqjwls32d/60.jpg
Ditto,Ditto #132,$2.00,$12.92,$38.76,https://storage.googleapis.com/images.pricecharting.com/tn5eythgcnrzrqog/60.jpg
Ditto,Ditto [Reverse] #132,$1.79,$12.63,$37.88,https://storage.googleapis.com/images.pricecharting.com/z34yntyac57ksm3m/60.jpg
Ditto,Ditto [Master Ball] #132,,,,https://storage.googleapis.com/images.pricecharting.com/st6peb4wcfaws7dr/60.jpg
Machoke,Machoke #67,$6.13,$18.94,$56.87,https://storage.googleapis.com/images.pricecharting.com/2x7t2z7t7us62x6u/60.jpg
Machoke,Machoke [Reverse] #67,$1.79,,,https://storage.googleapis.com/images.pricecharting.com/3iot5ws2ndvw4t35/60.jpg
Machoke,Machoke [Master Ball] #67,,,,https://storage.googleapis.com/images.pricecharting.com/z3lkhxpaypvs37cv/60.jpg
Diglett,Diglett #50,$6.04,,,https://storage.googleapis.com/images.pricecharting.com/nkp3wwaqemldavzv/60.jpg
Diglett,Diglett [Reverse] #50,$3.80,,,https://storage.googleapis.com/images.pricecharting.com/5fa6duqmk22c3k7x/60.jpg
Diglett,Diglett [Master Ball] #50,,,,https://storage.googleapis.com/images.pricecharting.com/xopievmocqfdzleq/60.jpg
Staryu,Staryu #166,$5.98,$9.99,$56.20,https://storage.googleapis.com/images.pricecharting.com/xjdfecwxet2bwrej/60.jpg
Staryu,Staryu [Reverse] #120,$2.00,,,https://storage.googleapis.com/images.pricecharting.com/4cieiyjfthz7ngm7/60.jpg
Staryu,Staryu #120,$1.73,,,https://storage.googleapis.com/images.pricecharting.com/uzgo7zshf6a4smxx/60.jpg
Staryu,Staryu [Master Ball] #120,,,,https://storage.googleapis.com/images.pricecharting.com/3cv4eybgv4h7nptq/60.jpg
Charmander,Charmander #152,$5.90,$12.99,$60.97,https://storage.googleapis.com/images.pricecharting.com/dvruymrf4yzeucif/60.jpg
Charmander,Charmander #4,$3.12,$25.32,$75.99,https://storage.googleapis.com/images.pricecharting.com/tsdgjr7v25hvw2ev/60.jpg
Charmander,Charmander [Reverse] #4,$1.88,$12.74,$38.24,https://storage.googleapis.com/images.pricecharting.com/uqz7ic56f764molt/60.jpg
Charmander,Charmander [Master Ball] #4,,,,https://storage.googleapis.com/images.pricecharting.com/ojtrkkhpskb7kvlq/60.jpg
Electabuzz,Electabuzz [Reverse] #125,$5.82,,,https://storage.googleapis.com/images.pricecharting.com/sgrrhc6ojrvh3iic/60.jpg
Electabuzz,Electabuzz #125,$1.52,,,https://storage.googleapis.com/images.pricecharting.com/m2uqkbcc3tdvvu4t/60.jpg
Electabuzz,Electabuzz [Master Ball] #125,,,,https://storage.googleapis.com/images.pricecharting.com/vtpf66ln6zrxyf3a/60.jpg
Kadabra,Kadabra #161,$5.79,$18.86,$56.66,https://storage.googleapis.com/images.pricecharting.com/lc5fbmvcuw36mkwq/60.jpg
Kadabra,Kadabra [Reverse] #64,$1.83,,,https://storage.googleapis.com/images.pricecharting.com/6hm333yxekwjsl5y/60.jpg
Kadabra,Kadabra #64,$1.00,,,https://storage.googleapis.com/images.pricecharting.com/aybkg47rb5grwaey/60.jpg
Kadabra,Kadabra [Master Ball] #64,,,,https://storage.googleapis.com/images.pricecharting.com/cvdottip33rxr56b/60.jpg
Aerodactyl,Aerodactyl #142,$5.61,$3.25,$54.86,https://storage.googleapis.com/images.pricecharting.com/mpwyjhxuvnqmliye/60.jpg
Aerodactyl,Aerodactyl [Reverse] #142,$1.84,,,https://storage.googleapis.com/images.pricecharting.com/wp7i3gykrdaxj665/60.jpg
Aerodactyl,Aerodactyl [Master Ball] #142,,,,https://storage.googleapis.com/images.pricecharting.com/dloil3iulwao56gj/60.jpg
Blastoise,Blastoise ex #176,$5.50,$10.00,$45.94,https://storage.googleapis.com/images.pricecharting.com/dczlo6ohwklxq7bc/60.jpg
Abra,Abra #63,$5.50,$18.02,$54.09,https://storage.googleapis.com/images.pricecharting.com/zvyrkjyzrfuqtkef/60.jpg
Abra,Abra #160,$3.99,$15.81,$47.49,https://storage.googleapis.com/images.pricecharting.com/3ngotjezlrodnvgy/60.jpg
Blastoise,Blastoise EX #9,$2.68,$14.29,$26.00,https://storage.googleapis.com/images.pricecharting.com/yldh7m7bcbdwmrca/60.jpg
Abra,Abra [Master Ball] #63,,,,https://storage.googleapis.com/images.pricecharting.com/ul63b5lz6xl7ixg5/60.jpg
Abra,Abra [Reverse] #63,,,,https://storage.googleapis.com/images.pricecharting.com/4ugo7swgyedn5xk7/60.jpg
Kangaskhan,Kangaskhan EX #115,$5.46,$17.97,$53.91,https://storage.googleapis.com/images.pricecharting.com/me27l6g2qa5bokmd/60.jpg
Kangaskhan,Kangaskhan EX #182,$3.95,$8.76,$47.29,https://storage.googleapis.com/images.pricecharting.com/76ibjyfqeos373x5/60.jpg
Starmie,Starmie #167,$5.32,$17.52,$52.55,https://storage.googleapis.com/images.pricecharting.com/izc5f5wjse56u4so/60.jpg
Starmie,Starmie #121,$1.97,$12.87,$38.63,https://storage.googleapis.com/images.pricecharting.com/c7dccvhivawglfp6/60.jpg
Starmie,Starmie [Reverse] #121,$0.50,,,https://storage.googleapis.com/images.pricecharting.com/3oxdkfmciz5hwsj5/60.jpg
Starmie,Starmie [Master Ball] #121,,,,https://storage.googleapis.com/images.pricecharting.com/2kq7jnonqj3g5afg/60.jpg
Machamp,Machamp [Reverse] #68,$5.00,,,https://storage.googleapis.com/images.pricecharting.com/eani33kphwefnec5/60.jpg
Machamp,Machamp #68,$1.00,,,https://storage.googleapis.com/images.pricecharting.com/nada2qybvbaf5esr/60.jpg
Machamp,Machamp [Master Ball] #68,,,,https://storage.googleapis.com/images.pricecharting.com/cevmv4vdvmtkfpfv/60.jpg
Muk,Muk #89,$4.99,,,https://storage.googleapis.com/images.pricecharting.com/xsuijpb2ucym3ehg/60.jpg
Muk,Muk [Reverse] #89,$1.79,,,https://storage.googleapis.com/images.pricecharting.com/3uroko2evbdbfiq3/60.jpg
Muk,Muk [Master Ball] #89,,,,https://storage.googleapis.com/images.pricecharting.com/dlynhsuwsy2lm46q/60.jpg
Electrode,Electrode #165,$4.87,$4.25,$51.28,https://storage.googleapis.com/images.pricecharting.com/k3rlc5quysqjgv7k/60.jpg
Electrode,Electrode #101,$3.86,,,https://storage.googleapis.com/images.pricecharting.com/56zlnqt6z467wcwt/60.jpg
Electrode,Electrode [Reverse] #101,$1.59,,,https://storage.googleapis.com/images.pricecharting.com/fxc6mpxfw6wlgm6i/60.jpg
Electrode,Electrode [Master Ball] #101,,,,https://storage.googleapis.com/images.pricecharting.com/rm6fqdstvk3rjwcp/60.jpg
