Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Ditto #51,$56.00,$64.00,$150.01,https://storage.googleapis.com/images.pricecharting.com/c66e9b7134f0b087ff6235cc7ddf2b68e6761298510b62211f8138cb047db152/60.jpg
Snorlax [Reverse Holo] #100,$336.00,"$1,382.46","$1,725.00",https://storage.googleapis.com/images.pricecharting.com/38ce540878c729fbcfe1bec3121e52806d2ce4f674f63c914030cf746ee367f7/60.jpg
Jolteon #H12,$243.39,$711.20,"$1,893.37",https://storage.googleapis.com/images.pricecharting.com/fe643a06f16aaa03cd1e7d9ba396da84a8764734f0e9fbb166a7db4754d4b730/60.jpg
Starmie #H28,$202.77,$568.91,"$2,800.00",https://storage.googleapis.com/images.pricecharting.com/607dd06f7a244b99227f9c92820c358600d8fe9461aa0319d1bcb8faa387510d/60.jpg
Magikarp #75,$74.99,$103.79,$321.10,https://storage.googleapis.com/images.pricecharting.com/4ffd505d4401a5bc130e10c5d1f96e280e0ac0acedb267a8d27f187d9676a334/60.jpg
Poliwrath #H24,$215.00,$966.50,"$2,000.00",https://storage.googleapis.com/images.pricecharting.com/67327968705191c11e6883d967a3f40549dca168cc540d0a9d33abe959220b4d/60.jpg
Machamp #H15,$169.99,$485.00,"$2,404.75",https://storage.googleapis.com/images.pricecharting.com/e65f1dffba804611d7cc5534de51a3e81611c2aa2238fff27071310300859956/60.jpg
Steelix #H29,$175.62,$383.73,"$1,400.00",https://storage.googleapis.com/images.pricecharting.com/9e09e32565109fc7661eb7ad3d95d294bc7f0b5f04f4b7858d0c6c68e676069f/60.jpg
Kabutops #H13,$231.65,$465.91,"$2,000.00",https://storage.googleapis.com/images.pricecharting.com/90b6e8c179a52a547aaadf767d07ed1c4f691bac505c973bec432afa9e3c4f49/60.jpg
Vaporeon #33,$35.50,$69.00,$250.00,https://storage.googleapis.com/images.pricecharting.com/de85cc6c1371996ad00d33de35eb80ccb8af4b2867d6a41632e971f61a92e986/60.jpg
Alakazam #2,$88.28,$121.41,$305.00,https://storage.googleapis.com/images.pricecharting.com/4ae18ec5e51af757c9557b5564454aabfd02ac08468bfa63337daa47a08bc3ed/60.jpg
Gyarados [Reverse Holo] #11,$173.94,$550.00,$660.00,https://storage.googleapis.com/images.pricecharting.com/514a3fe46e015f65925ec43e44ba9e9f2e674db8ad799192c3daba579ba8969a/60.jpg
Lapras #71,$15.46,$59.34,$144.45,https://storage.googleapis.com/images.pricecharting.com/c0068bfde527cb15c95429b728d7bb12b0f73973870b7c5688d56b7dbdd64674/60.jpg
Flareon #8,$46.79,$82.16,$205.10,https://storage.googleapis.com/images.pricecharting.com/109228c40d608294f9d283da3337ddddf405381bc33cc4bd8397e69f8ed3e9f9/60.jpg
Crobat #H5,$253.41,$516.25,"$1,225.00",https://storage.googleapis.com/images.pricecharting.com/5afeae9939191f412e51497202494bd05916df259f5c56a8b4089254d2a04452/60.jpg
Dewgong #H6,$227.38,$493.37,$850.00,https://storage.googleapis.com/images.pricecharting.com/e13d6f69cca00286dee35dee4a02d365318a66e4a13d034c596d91bf533948f1/60.jpg
Moltres #21,$31.75,$67.00,$154.27,https://storage.googleapis.com/images.pricecharting.com/9ab9a931be7ea63dee2234e00c5014d69fa2d2f1a89406c37f21138f96864c97/60.jpg
Kabutops [Reverse Holo] #150,$248.30,$432.50,$706.82,https://storage.googleapis.com/images.pricecharting.com/30a209009971338ec47891ded79c3a1d1f05e29eb80e42bcab1e43c41bc94358/60.jpg
Pikachu [Reverse Holo] #84,$274.09,$377.74,"$1,058.72",https://storage.googleapis.com/images.pricecharting.com/f0b60e784097efb6905a18a51a78231944cbde6293ee25d0f0b5cd1fb4d9530e/60.jpg
Golem [Reverse Holo] #148,$257.47,$449.99,"$1,300.48",https://storage.googleapis.com/images.pricecharting.com/48f1b8c4a552191ef1f36f2cdcec1b05c66aba42711e09844bd86453a4b0cff6/60.jpg
Rhydon #H27,$125.00,$390.47,"$1,499.00",https://storage.googleapis.com/images.pricecharting.com/1233ec43ee21942c97b274b01b0b25bf908812c656dbfc98608ae1a910f82cfc/60.jpg
Politoed #H23,$298.02,$657.16,"$2,088.88",https://storage.googleapis.com/images.pricecharting.com/ae8b0412b57ee0fc7ea742ea76fe6dd429304bccc778a5e86beea316a0967e82/60.jpg
Nidoqueen #H21,$107.47,$326.02,$920.00,https://storage.googleapis.com/images.pricecharting.com/33aa4bdaf113147504084ab2629c2249cb3a2639014601aba51b274c859de6db/60.jpg
Xatu #H32,$148.79,$281.00,"$1,319.63",https://storage.googleapis.com/images.pricecharting.com/8d64953a81cee6fd80259866fe4b43bfb5b03bdaecee86857013adba42d4c55f/60.jpg
Magneton #H18,$134.39,$389.27,"$2,790.49",https://storage.googleapis.com/images.pricecharting.com/f275f7aa26a45b7276078fe039c8d8f30204783bc8b194eb867034cdadaffdc7/60.jpg
Jolteon #13,$34.44,$59.00,$208.81,https://storage.googleapis.com/images.pricecharting.com/d3b99d875601106f2db7d12d0e0ea04e824f13284488ca190800449d9d45105a/60.jpg
Houndoom #12,$44.88,$75.91,$241.32,https://storage.googleapis.com/images.pricecharting.com/428a647f1334c50836afe46890823a8167a7921aaf0269613889abe2789eb2a7/60.jpg
Crobat [Reverse Holo] #147,$245.54,$449.47,$601.81,https://storage.googleapis.com/images.pricecharting.com/c49ac94e05ea8e83cf7f053b4176441e4605e90901a514c250f58787db1b6672/60.jpg
Magikarp [Reverse Holo] #75,$189.85,$198.50,"$2,012.49",https://storage.googleapis.com/images.pricecharting.com/ryhchrgyfvmcxxqh/60.jpg
Piloswine #H22,$173.67,$349.99,"$1,500.00",https://storage.googleapis.com/images.pricecharting.com/4872180a6f6d25af6f04a3de1621dd8827c9e21067512a27487c82edc76227b5/60.jpg
Articuno #4,$47.16,$74.00,$132.50,https://storage.googleapis.com/images.pricecharting.com/179a233c9fa2c27eb1f635060a813bc7a4c6dfe245317f53e975b2512d382ab6/60.jpg
Lapras [Reverse Holo] #71,$129.00,$255.00,$940.00,https://storage.googleapis.com/images.pricecharting.com/06ac12f004666d674c2c9bbcd5b59f00e9a856329f625901edb51c9c5fc1bd52/60.jpg
Magcargo #H17,$122.21,$365.32,"$1,000.00",https://storage.googleapis.com/images.pricecharting.com/4ecb33c9bdfa3c9f8d23b33fbab87ed5b6f179eeb8404c01eec1345400147b68/60.jpg
Arcanine #3,$66.86,$83.56,$170.00,https://storage.googleapis.com/images.pricecharting.com/1ba22a95325ce959746077b2180fffbacd6d1f2d677903f546dbe6bf4f908276/60.jpg
Beedrill #H4,$147.30,$415.00,"$1,745.46",https://storage.googleapis.com/images.pricecharting.com/1a8b639102d843c7f19c54779c7f8c0bd71d64f31dfb424ea4dd01855d0d0c23/60.jpg
Alakazam [Reverse Holo] #2,$235.00,$337.26,$527.68,https://storage.googleapis.com/images.pricecharting.com/9814251ce3ee26e04a77bc093b7c2e63d05dd146c41c65825acd09438ed02c14/60.jpg
Magneton #H19,$102.63,$352.50,"$1,433.36",https://storage.googleapis.com/images.pricecharting.com/5b381c356b7ce529bd41c98ef445a834230263222e6ff51bd2e9b6e6d5b2f887/60.jpg
Raichu #27,$68.52,$74.04,$241.31,https://storage.googleapis.com/images.pricecharting.com/1c77321c6638aad90daa0420c7ed33553a5c2724385c3ba5dd47299e7c9e676d/60.jpg
Eevee [Reverse Holo] #54,$179.97,$281.01,$484.27,https://storage.googleapis.com/images.pricecharting.com/4a5189cd0a72016d6ec42530a7f813705ee1627d98e4991bd29e9f4770d6abfe/60.jpg
Ledian #H14,$160.27,$332.16,"$1,509.85",https://storage.googleapis.com/images.pricecharting.com/41c379a3ff1100d18738b7b852f499436d82eb1b2497d7215a699496e5eb5235/60.jpg
Ho-oh [Box Topper] #11,$278.26,$434.90,"$1,013.50",https://storage.googleapis.com/images.pricecharting.com/5077ae9fd6fc544f706125b81a3cc1cbd490a6a605c3ef17a5ca43fe560b15c2/60.jpg
Articuno [Reverse Holo] #4,$84.89,$150.94,$263.26,https://storage.googleapis.com/images.pricecharting.com/3ir4vqc5agvfwmbf/60.jpg
Haunter #63,$32.75,$69.99,$231.50,https://storage.googleapis.com/images.pricecharting.com/4e403be8c9dd63b1f1ae4a5454e4ae72d14dfd7582adeafe6a2434c8fa31dc0a/60.jpg
Ditto [Reverse Holo] #51,$202.50,$217.41,$305.34,https://storage.googleapis.com/images.pricecharting.com/b679010bb87194eaca0a931ef3c6391d76cfd5ce3c8adb8c4400188f651ec887/60.jpg
Steelix #31,$42.25,$47.11,$261.51,https://storage.googleapis.com/images.pricecharting.com/11bdcd96610c1b47c5b01654bbe85175697040e882c5cda3ac6ed2aba1433eb6/60.jpg
Meowth [Reverse Holo] #78,$78.86,$120.00,"$2,453.67",https://storage.googleapis.com/images.pricecharting.com/9102ef543ad90712c3656257b50fd297d3be21184eab2124a468a4188fab21f7/60.jpg
Aerodactyl #1,$35.00,$69.99,$227.76,https://storage.googleapis.com/images.pricecharting.com/7d1d2ab121130c265551f98c1a48f01f07e4a346d06371bdc43d89b422ef5436/60.jpg
Houndoom [Reverse Holo] #12,$91.50,$206.69,$426.88,https://storage.googleapis.com/images.pricecharting.com/22719c78dd8558dba75987decf0a0ea17089a8a998a82bf5cb49800b877dc1ce/60.jpg
Flareon [Reverse Holo] #8,$90.49,$130.10,$630.00,https://storage.googleapis.com/images.pricecharting.com/a72bf3cd293234ae67635ee7140b417d79509c3e15b65eb08e70a60d5e55105c/60.jpg
Vaporeon [Reverse Holo] #33,$83.10,$269.27,$477.54,https://storage.googleapis.com/images.pricecharting.com/8f655fa2ee0ab4680363fd68efebb41a438e5b6823ea01b77bacebfb9d3b21c0/60.jpg
Ursaring #110,$18.49,$39.99,$80.00,https://storage.googleapis.com/images.pricecharting.com/6cb1fed5f6f7c66cf775a01fac219a71a87e7981af804f6d01602a1e06b131df/60.jpg
Forretress #H8,$111.17,$322.36,$787.00,https://storage.googleapis.com/images.pricecharting.com/c644a3390a2be34ab007538cb3f711bb9e7a1feca6529b87a2b5e903a92a098e/60.jpg
Magcargo #H16,$143.76,$331.66,"$1,275.00",https://storage.googleapis.com/images.pricecharting.com/c9c68d6f006f8881e7e85ea057235e1136140b5966f71b8f0de71b6fa087a4e9/60.jpg
Raikou #28,$29.63,$75.31,$219.70,https://storage.googleapis.com/images.pricecharting.com/5078f6e0aee2e63d2ca73c9d7031d00bcd79d5cc7563cb80addd16550f96306e/60.jpg
Meowth #78,$51.35,$50.00,$77.00,https://storage.googleapis.com/images.pricecharting.com/7c6888f67fa49795aee14fc9699c316e930fdae1fb21d767fd6124b075e9621a/60.jpg
Moltres [Reverse Holo] #21,$55.00,$278.32,$488.52,https://storage.googleapis.com/images.pricecharting.com/507476ec80acd1327891fda3deebed8d2eb4792364416ca35a779b29216a2228/60.jpg
Gastly #57,$16.50,$24.99,$127.75,https://storage.googleapis.com/images.pricecharting.com/09d5b476fa4730ef9a00f59a303d2d439611a16384c8fe13df36d4e163ade866/60.jpg
Kadabra #69,$18.99,$30.00,$93.42,https://storage.googleapis.com/images.pricecharting.com/a449d6c712f629ab75657276cf524abaa80833f8baae678e82670d5510571baa/60.jpg
Jolteon [Reverse Holo] #13,$84.93,$214.71,$556.96,https://storage.googleapis.com/images.pricecharting.com/dndiwl3hybm3nk22/60.jpg
Electrode #36,$9.88,$26.43,$83.00,https://storage.googleapis.com/images.pricecharting.com/e247887c90bf4ea9b3abc6447ac0fce2d78f2155d4dad8fc1ef6a53216b1fabf/60.jpg
Machamp #16,$19.74,$50.00,$163.93,https://storage.googleapis.com/images.pricecharting.com/5246f7c727db6e17dd2611375fcee255c35e3243e75647c4f19c8906abef94d7/60.jpg
