Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Kingdra,Kingdra EX #94,$45.75,$207.99,"$1,150.00",https://storage.googleapis.com/images.pricecharting.com/ded54376978ed859d2264edfc73fea5009f4d2390cc5b08140757b4cf8cdd055/60.jpg
Croconaw,Croconaw [Reverse Holo] #27,$37.98,$78.53,"$1,195.49",https://storage.googleapis.com/images.pricecharting.com/60fc5d52c294b2edc5e40e89f905c4a0fb23b8dfe03df0eca4d23c1677133323/60.jpg
Croconaw,Croconaw #27,$3.00,$36.67,$119.00,https://storage.googleapis.com/images.pricecharting.com/e960c1d9ec4b7fe6260c9ae09450f7c00c14b36497e42a3156478b81cc71bf82/60.jpg
Meganium,Meganium [Reverse Holo] #4,$35.16,$189.35,"$2,400.00",https://storage.googleapis.com/images.pricecharting.com/5ef977c4d9f1449be19b3f3896305f8adc24f0e07d10f20f3e1aec6e9de08a7d/60.jpg
Meganium,Meganium #4,$29.55,$90.62,"$1,800.43",https://storage.googleapis.com/images.pricecharting.com/40a6e47e615f36942d892d22c505edb696ba71fa87041bb721bda4997d9ca83b/60.jpg
Togepi,Togepi [Reverse Holo] #41,$34.95,$91.00,$142.22,https://storage.googleapis.com/images.pricecharting.com/6ac777b276e2055779be399f1fe48f26154f8f69c1ced38896e818ed2942d31c/60.jpg
Togepi,Togepi #41,$5.05,$52.00,$171.00,https://storage.googleapis.com/images.pricecharting.com/2b9ba83f586f69f322beb04c42c05999b8b48e10664f4583ded82dc46cfdf004/60.jpg
Ampharos,Ampharos [Reverse Holo] #1,$34.50,$150.00,$702.26,https://storage.googleapis.com/images.pricecharting.com/505682ba99ec7b5e22c68c6405ffdd68193b2548370fb009e0d32afb2d596262/60.jpg
Ampharos,Ampharos #1,$25.24,$98.00,$559.51,https://storage.googleapis.com/images.pricecharting.com/7044a504b5fd20304aba701ba086d761e2c9ee64d2fba2eaed520f57fb9f4aa6/60.jpg
Quagsire,Quagsire [Reverse Holo] #21,$34.35,$96.07,$224.99,https://storage.googleapis.com/images.pricecharting.com/bf6ccaaf97455ef3a262e776506429352b55565ba10da715983ded0cff16198b/60.jpg
Quagsire,Quagsire #21,$8.72,$43.00,$100.94,https://storage.googleapis.com/images.pricecharting.com/a1192ea6c1850138e026eeff5bfe256f383202d37190ea6990d5b0edd5517e27/60.jpg
Heracross,Heracross [Reverse Holo] #3,$32.97,$225.00,"$1,775.78",https://storage.googleapis.com/images.pricecharting.com/8af14b8fd2cc5ae6a066bd41ba713eb91aa3d0b9bba52f81fb483d4c6761f6b3/60.jpg
